"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\ADMIN_CRUD_FIXED.md", "Markdown", 0, 182, 0, 0, 0, 0, 0, 38, 220
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\ADMIN_CRUD_GUIDE.md", "Markdown", 0, 249, 0, 0, 0, 0, 0, 62, 311
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\ADMIN_DASHBOARD_CHECKLIST.md", "Markdown", 0, 233, 0, 0, 0, 0, 0, 37, 270
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\ADMIN_QUICK_START.md", "Markdown", 0, 248, 0, 0, 0, 0, 0, 66, 314
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\DEPLOYMENT_CHECKLIST.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\backend\models\Cart.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\backend\models\Contact.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\backend\models\Order.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\backend\models\Product.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\backend\models\User.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\backend\package-lock.json", "JSON", 0, 0, 1618, 0, 0, 0, 0, 1, 1619
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\backend\package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 1, 30
